2022-12-09 11:33:54|[INFO]|gmrm38kkt8rulvnqebjbla7tsa|FORUM|::1|topic|56|vel vehicula metus imperdiet a|2|http://localhost/smartwork/forum/subject/subject-2-id-17.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|/smartwork/forum/topic/topic-3-sujet-2-id-56.html|localhost|1a7513945e8b91e4f52ef0412130ead4|
2022-12-09 11:34:00|[INFO]|gmrm38kkt8rulvnqebjbla7tsa|FORUM|::1|topic|17|Subject 2|2|http://localhost/smartwork/forum/topic/topic-3-sujet-2-id-56.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|/smartwork/forum/subject/subject-2-id-17.html|localhost|1a7513945e8b91e4f52ef0412130ead4|
2022-12-09 11:34:06|[INFO]|gmrm38kkt8rulvnqebjbla7tsa|FORUM|::1|topic|55|Pellentesque habitant morbi tristique senectus|2|http://localhost/smartwork/forum/subject/subject-2-id-17.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|/smartwork/forum/topic/topic-1-sujet-2-id-55.html|localhost|1a7513945e8b91e4f52ef0412130ead4|
2022-12-09 11:34:54|[INFO]|gmrm38kkt8rulvnqebjbla7tsa|FORUM|::1|topic|17|Subject 2|2|http://localhost/smartwork/forum/topic/topic-1-sujet-2-id-55.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|/smartwork/forum/subject/subject-2-id-17.html|localhost|1a7513945e8b91e4f52ef0412130ead4|
2022-12-09 11:35:21|[INFO]|gmrm38kkt8rulvnqebjbla7tsa|FORUM|::1|subject|||2|http://localhost/smartwork/forum/subject/subject-2-id-17.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|/smartwork/forum/|localhost|1a7513945e8b91e4f52ef0412130ead4|
2022-12-09 11:35:40|[INFO]|gmrm38kkt8rulvnqebjbla7tsa|FORUM|::1|topic|2|Subject 1|2|http://localhost/smartwork/forum/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|/smartwork/forum/subject/subject-1-id-2.html|localhost|1a7513945e8b91e4f52ef0412130ead4|
2022-12-09 11:37:43|[INFO]|gmrm38kkt8rulvnqebjbla7tsa|FORUM|::1|subject|||2|http://localhost/smartwork/forum/subject/subject-1-id-2.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|/smartwork/forum/|localhost|1a7513945e8b91e4f52ef0412130ead4|
2022-12-09 11:37:47|[INFO]|gmrm38kkt8rulvnqebjbla7tsa|FORUM|::1|topic|2|Subject 1|2|http://localhost/smartwork/forum/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|/smartwork/forum/subject/subject-1-id-2.html|localhost|1a7513945e8b91e4f52ef0412130ead4|
2022-12-09 11:38:25|[INFO]|gmrm38kkt8rulvnqebjbla7tsa|FORUM|::1|subject|||2|http://localhost/smartwork/forum/subject/subject-1-id-2.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|/smartwork/forum/|localhost|1a7513945e8b91e4f52ef0412130ead4|
2022-12-09 11:43:41|[INFO]|gmrm38kkt8rulvnqebjbla7tsa|FORUM|::1|topic|2|Subject 1|2|http://localhost/smartwork/forum/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|/smartwork/forum/subject/subject-1-id-2.html|localhost|1a7513945e8b91e4f52ef0412130ead4|
2022-12-09 11:44:12|[INFO]|gmrm38kkt8rulvnqebjbla7tsa|FORUM|::1|subject|||2|http://localhost/smartwork/forum/subject/subject-1-id-2.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|/smartwork/forum/|localhost|1a7513945e8b91e4f52ef0412130ead4|
2022-12-09 11:44:24|[INFO]|gmrm38kkt8rulvnqebjbla7tsa|FORUM|::1|topic|2|Neque porro|2|http://localhost/smartwork/forum/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|/smartwork/forum/subject/subject-1-id-2.html|localhost|1a7513945e8b91e4f52ef0412130ead4|
