2022-09-03 00:49:45|[INFO]|89iv2gkvdivn1t7c4t4dmm8ole|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-03 00:54:58|[INFO]|89iv2gkvdivn1t7c4t4dmm8ole|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-03 00:55:13|[INFO]|89iv2gkvdivn1t7c4t4dmm8ole|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-03 00:55:45|[INFO]|89iv2gkvdivn1t7c4t4dmm8ole|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-03 00:55:47|[INFO]|89iv2gkvdivn1t7c4t4dmm8ole|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-03 00:57:49|[INFO]|89iv2gkvdivn1t7c4t4dmm8ole|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-03 00:58:05|[INFO]|89iv2gkvdivn1t7c4t4dmm8ole|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-03 00:59:25|[INFO]|89iv2gkvdivn1t7c4t4dmm8ole|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-03 00:59:26|[INFO]|89iv2gkvdivn1t7c4t4dmm8ole|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-03 01:01:36|[INFO]|89iv2gkvdivn1t7c4t4dmm8ole|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
