2022-09-13 00:24:07|[INFO]|96cipmrtdcitl51mdopfa69sb4|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/contents_results.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 00:24:07|[INFO]|96cipmrtdcitl51mdopfa69sb4|DMG|::1|slides_visu_simple|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_simple.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 00:24:10|[INFO]|96cipmrtdcitl51mdopfa69sb4|DMG|::1|slides_visu_sheets|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_sheets.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 01:15:29|[INFO]|96cipmrtdcitl51mdopfa69sb4|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/contents_results.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 01:15:29|[INFO]|96cipmrtdcitl51mdopfa69sb4|DMG|::1|slides_visu_simple|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_simple.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 01:16:00|[INFO]|96cipmrtdcitl51mdopfa69sb4|DMG|::1|slides_visu_sheets|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_sheets.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 01:16:11|[INFO]|96cipmrtdcitl51mdopfa69sb4|DMG|::1|slides_visu_simple|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_simple.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 14:20:21|[INFO]|pe76tu8c21jc51re28qki1oequ|DMG|::1||||1|http://localhost/smartwork/dmg/diagrams.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/diagrams.html|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 14:21:42|[INFO]|pe76tu8c21jc51re28qki1oequ|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/variables.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 14:21:43|[INFO]|pe76tu8c21jc51re28qki1oequ|DMG|::1|slides_visu_simple|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_simple.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 14:27:51|[INFO]|pe76tu8c21jc51re28qki1oequ|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/variables.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 14:27:52|[INFO]|pe76tu8c21jc51re28qki1oequ|DMG|::1|slides_visu_simple|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_simple.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 14:30:09|[INFO]|pe76tu8c21jc51re28qki1oequ|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/variables.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 14:30:10|[INFO]|pe76tu8c21jc51re28qki1oequ|DMG|::1|slides_visu_simple|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_simple.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 14:31:23|[INFO]|pe76tu8c21jc51re28qki1oequ|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 14:31:23|[INFO]|pe76tu8c21jc51re28qki1oequ|DMG|::1|slides_visu_simple|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_simple.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 14:31:32|[INFO]|pe76tu8c21jc51re28qki1oequ|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 14:31:33|[INFO]|pe76tu8c21jc51re28qki1oequ|DMG|::1|slides_visu_simple|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_simple.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 14:33:32|[INFO]|pe76tu8c21jc51re28qki1oequ|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/variables.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 14:33:33|[INFO]|pe76tu8c21jc51re28qki1oequ|DMG|::1|slides_visu_simple|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_simple.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 14:34:21|[INFO]|pe76tu8c21jc51re28qki1oequ|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 14:34:22|[INFO]|pe76tu8c21jc51re28qki1oequ|DMG|::1|slides_visu_simple|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_simple.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 14:37:06|[INFO]|pe76tu8c21jc51re28qki1oequ|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 14:37:07|[INFO]|pe76tu8c21jc51re28qki1oequ|DMG|::1|slides_visu_simple|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_simple.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 14:37:36|[INFO]|pe76tu8c21jc51re28qki1oequ|DMG|::1|slides_visu_sheets|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_sheets.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 14:40:52|[INFO]|pe76tu8c21jc51re28qki1oequ|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 14:40:53|[INFO]|pe76tu8c21jc51re28qki1oequ|DMG|::1|slides_visu_simple|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_simple.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 14:40:55|[INFO]|pe76tu8c21jc51re28qki1oequ|DMG|::1|slides_visu_sheets|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_sheets.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 18:24:22|[INFO]|jobjetfj45e4kevg8m4kknvvl9|DMG|::1||||1|http://localhost/smartwork/dmg/results.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 18:24:42|[INFO]|jobjetfj45e4kevg8m4kknvvl9|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-13 18:24:43|[INFO]|jobjetfj45e4kevg8m4kknvvl9|DMG|::1|slides_visu_simple|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_simple.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
