2022-08-29 01:14:21|[INFO]|j7hihnm60b054f2imbd9i4meqh|SEPARATION|::1|outil_situation||Diagnostic-Situation|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_situation.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-29 01:19:48|[INFO]|j7hihnm60b054f2imbd9i4meqh|SEPARATION|::1|outil||outil|2||Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-29 01:19:48|[INFO]|j7hihnm60b054f2imbd9i4meqh|SEPARATION|::1|outil_situation||Diagnostic-Situation|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_situation.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-29 01:20:53|[INFO]|j7hihnm60b054f2imbd9i4meqh|DMG|::1|visualisation_variables|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_variables.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-29 01:21:00|[INFO]|j7hihnm60b054f2imbd9i4meqh|DMG|::1|visualisation_diagrams|||2|http://localhost/smartwork/dmg/visualisation_variables.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_diagrams.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-29 01:21:22|[INFO]|j7hihnm60b054f2imbd9i4meqh|DMG|::1|visualisation_variables|||2|http://localhost/smartwork/dmg/visualisation_diagrams.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_variables.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-29 01:22:47|[INFO]|j7hihnm60b054f2imbd9i4meqh|DMG|::1|visualisation_results|||2|http://localhost/smartwork/dmg/visualisation_variables.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_results.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-29 01:26:35|[INFO]|j7hihnm60b054f2imbd9i4meqh|DMG|::1|visualisation_results|||2|http://localhost/smartwork/dmg/results.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_results.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-29 01:29:59|[INFO]|j7hihnm60b054f2imbd9i4meqh|DMG|::1|visualisation_results|||2|http://localhost/smartwork/dmg/results.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_results.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-29 01:32:26|[INFO]|j7hihnm60b054f2imbd9i4meqh|DMG|::1|visualisation_results|||2|http://localhost/smartwork/dmg/results.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_results.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
