2022-09-10 00:24:27|[INFO]|dfe0t34ms3ckb20guhr8kb9v5n|DMG|::1|slides_visu_sheets|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_sheets.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-10 00:24:32|[INFO]|dfe0t34ms3ckb20guhr8kb9v5n|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-10 00:26:12|[INFO]|dfe0t34ms3ckb20guhr8kb9v5n|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-10 00:26:12|[INFO]|dfe0t34ms3ckb20guhr8kb9v5n|DMG|::1|slides_visu_simple|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_simple.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-10 00:26:17|[INFO]|dfe0t34ms3ckb20guhr8kb9v5n|DMG|::1|slides_visu_sheets|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_sheets.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-10 00:26:24|[INFO]|dfe0t34ms3ckb20guhr8kb9v5n|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-10 00:28:17|[INFO]|dfe0t34ms3ckb20guhr8kb9v5n|DMG|::1|slides_visu_simple|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_simple.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-10 00:28:25|[INFO]|dfe0t34ms3ckb20guhr8kb9v5n|DMG|::1|slides_visu_sheets|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_sheets.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-10 00:28:30|[INFO]|dfe0t34ms3ckb20guhr8kb9v5n|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-10 00:33:14|[INFO]|dfe0t34ms3ckb20guhr8kb9v5n|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
